Планета;Звезда;Уточненная природа;Масса(Me);Радиус(Re);Плотн(г/см3);Т-ра(K);Период(дн);Орбита(а.е.);PRI;ESI;Статус ИИ;Надёжность ИИ
GJ 367  b;GJ 367;Железная планета;0.55;0.59;14.68;1244;0.32;0.007;0.000;0.266;Оригинал;Оригинал
Kepler-406 b;Kepler-406;Железная планета;6.35;1.43;11.97;1329;2.43;0.036;0.000;0.266;Оригинал;Оригинал
Kepler-1618 b;Kepler-1618;Железная планета;3.52;1.26;9.69;1385;6.11;0.073;0.242;0.267;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1542 Ac;Kepler-1542 A;Железная планета;0.45;0.65;9.03;1279;2.89;0.039;0.162;0.269;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1385 b;Kepler-1385;Железная планета;0.96;0.85;8.57;1408;2.89;0.042;0.336;0.269;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1707 b;Kepler-1707;Железная планета;1.55;1.01;8.41;1462;1.70;0.028;0.423;0.272;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1371 c;Kepler-1371;Железная планета;0.46;0.64;9.76;1249;2.01;0.030;0.012;0.273;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-183 e;K2-183;Железная планета;3.04;1.23;9.01;1363;2.15;0.032;0.370;0.273;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1098 b;Kepler-1098;Железная планета;3.67;1.30;9.21;1333;2.54;0.036;0.349;0.274;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-363 b;Kepler-363;Железная планета;2.56;1.16;9.05;1382;3.61;0.047;0.342;0.275;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-374 b;Kepler-374;Железная планета;1.61;1.03;8.10;1434;1.90;0.031;0.492;0.275;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1035 Ab;Kepler-1035 A;Железная планета;4.31;1.38;9.04;1291;2.71;0.038;0.406;0.276;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1542 c;Kepler-1542;Железная планета;0.44;0.65;8.80;1237;2.89;0.039;0.209;0.277;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1104 b;Kepler-1104;Железная планета;2.76;1.23;8.18;1341;5.04;0.063;0.536;0.277;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-411 b;K2-411;Железная планета;1.59;0.99;9.03;1426;3.21;0.043;0.292;0.278;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
KOI-5 b;KOI-5;Железная планета;0.49;0.66;9.34;1233;7.05;0.079;0.105;0.279;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1998 b;Kepler-1998;Железная планета;0.37;0.60;9.53;1186;3.03;0.040;0.039;0.279;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1435 b;Kepler-1435;Железная планета;1.04;0.86;8.97;1355;4.45;0.056;0.259;0.279;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
OGLE-2005-BLG-390L b;OGLE-2005-BLG-390L;Железная планета;5.50;1.18;18.36;48;3285.00;2.611;0.000;0.280;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
Kepler-1579 b;Kepler-1579;Железная планета;0.89;0.84;8.23;1339;0.85;0.016;0.399;0.280;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-2001 b;Kepler-2001;Железная планета;1.66;1.04;8.15;1399;1.09;0.020;0.485;0.281;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-381 d;Kepler-381;Железная планета;1.94;1.07;8.82;1387;8.26;0.085;0.359;0.281;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-402 b;Kepler-402;Железная планета;2.85;1.22;8.65;1324;4.03;0.052;0.440;0.281;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
GJ 367 b;GJ 367;Железная планета;0.63;0.70;10.21;1250;0.32;0.007;0.000;0.281;Оригинал;Оригинал
TOI-411 b;HD 22946;Железная планета;13.71;1.36;29.90;1270;4.04;0.051;0.000;0.282;Оригинал;Оригинал
K2-166 c;K2-166;Железная планета;1906.80;1.22;5760.72;1315;3.80;0.049;0.000;0.283;Оригинал;Оригинал
KOI-4777.01;KOI-4777;Железная планета;99.20;0.51;4120.53;1092;0.41;0.008;0.000;0.283;Оригинал;Оригинал
Kepler-1402 b;Kepler-1402;Железная планета;0.67;0.76;8.45;1279;2.03;0.030;0.325;0.283;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-84 d;Kepler-84;Железная планета;4.23;1.38;8.88;1255;4.22;0.052;0.438;0.283;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
EPIC 201615463 c;K2-166;Железная планета;3.12;1.22;9.45;1311;3.80;0.049;0.279;0.284;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1982 b;Kepler-1982;Железная планета;0.78;0.77;9.35;1282;3.82;0.051;0.148;0.284;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
NGC 2682 YBP 401 b;NGC 2682 YBP 401;Железная планета;2.59;1.18;8.69;1319;4.09;0.052;0.420;0.285;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1971 b;Kepler-1971;Железная планета;0.34;0.51;14.12;1081;0.41;0.008;0.000;0.285;Оригинал;Оригинал
Kepler-1890 b;Kepler-1890;Железная планета;1.05;0.87;8.85;1327;4.82;0.056;0.287;0.286;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1393 b;Kepler-1393;Железная планета;0.78;0.80;8.44;1290;2.44;0.035;0.342;0.286;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-309 Ac;K2-309 A;Железная планета;16.84;0.48;840.52;1050;8.25;0.082;0.000;0.286;Оригинал;Оригинал
HD 93351 b;HD 93351;Железная планета;3.61;1.27;9.65;1277;2.46;0.035;0.255;0.286;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-322 b;Kepler-322;Железная планета;1.78;1.01;9.54;1378;1.65;0.026;0.198;0.287;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
KIC 5479689 b;KIC 5479689;Железная планета;1.38;0.97;8.21;1371;1.70;0.028;0.451;0.287;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-36 b;K2-36;Железная планета;4.30;1.43;8.10;1214;1.42;0.023;0.606;0.288;Оригинал;Оригинал
Kepler-1331 b;Kepler-1331;Железная планета;1.98;1.05;9.42;1349;0.79;0.015;0.234;0.289;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-889 b;Kepler-889;Железная планета;2.02;1.09;8.57;1323;3.74;0.049;0.416;0.291;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-444 b;Kepler-444;Железная планета;0.11;0.40;9.02;942;3.60;0.042;0.034;0.292;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-760 c;Kepler-760;Железная планета;5.07;1.48;8.62;1167;2.47;0.034;0.516;0.295;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1698 b;Kepler-1698;Железная планета;1.89;1.07;8.44;1309;1.21;0.021;0.437;0.295;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-914 b;Kepler-914;Железная планета;3.92;1.38;8.22;1192;4.41;0.054;0.569;0.297;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-826 b;Kepler-826;Железная планета;2.95;1.25;8.33;1235;4.49;0.054;0.512;0.297;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1438 Ab;Kepler-1438 A;Железная планета;1.27;0.94;8.38;1305;2.32;0.034;0.405;0.297;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-80 f;Kepler-80;Железная планета;2.79;1.21;8.66;1247;0.99;0.017;0.434;0.297;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1222 b;Kepler-1222;Железная планета;0.73;0.79;8.18;1224;1.92;0.028;0.390;0.298;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-413 b;K2-413;Железная планета;0.77;0.76;9.63;1207;0.81;0.016;0.089;0.298;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-466 c;Kepler-466;Железная планета;3.45;1.25;9.72;1228;3.71;0.048;0.234;0.298;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1560 b;Kepler-1560;Железная планета;1.14;0.89;8.94;1275;3.03;0.041;0.276;0.298;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1203 b;Kepler-1203;Железная планета;1.79;1.06;8.26;1299;0.59;0.012;0.468;0.298;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1438 b;Kepler-1438;Железная планета;1.39;0.94;9.22;1297;2.32;0.034;0.238;0.299;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1563 b;Kepler-1563;Железная планета;0.75;0.75;9.76;1198;3.43;0.045;0.059;0.299;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1894 b;Kepler-1894;Железная планета;2.82;1.20;8.96;1231;2.76;0.039;0.372;0.301;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1833 Ab;Kepler-1833 A;Железная планета;3.20;1.30;8.03;1189;6.89;0.074;0.587;0.303;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-605 c;Kepler-605;Железная планета;1.02;0.86;8.86;1232;2.36;0.034;0.282;0.304;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-164 b;Kepler-164;Железная планета;4.70;1.41;9.24;1148;5.04;0.059;0.373;0.304;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-352 b;K2-352;Железная планета;3.87;1.37;8.30;1158;3.67;0.046;0.552;0.305;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-100 b;Kepler-100;Железная планета;4.01;1.34;9.18;1164;6.89;0.074;0.367;0.306;Оригинал;Оригинал
Kepler-1833 b;Kepler-1833;Железная планета;3.54;1.30;8.88;1177;6.89;0.077;0.416;0.306;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-101 c;Kepler-101;Железная планета;3.78;1.25;10.66;1194;6.03;0.068;0.046;0.306;Оригинал;Оригинал
Kepler-1855 Ab;Kepler-1855 A;Железная планета;2.79;1.22;8.54;1194;0.73;0.013;0.460;0.309;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1864 b;Kepler-1864;Железная планета;0.67;0.75;8.65;1156;3.88;0.049;0.282;0.309;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1560 Ab;Kepler-1560 A;Железная планета;1.03;0.89;8.18;1223;3.03;0.041;0.427;0.309;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-969 c;Kepler-969;Железная планета;1.49;0.99;8.47;1268;1.68;0.027;0.405;0.309;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1629 b;Kepler-1629;Железная планета;0.75;0.77;9.06;1163;3.88;0.048;0.207;0.309;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-144 b;Kepler-144;Железная планета;3.55;1.33;8.31;1151;5.89;0.067;0.539;0.310;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1542 Ab;Kepler-1542 A;Железная планета;0.73;0.76;9.11;1154;3.95;0.048;0.194;0.310;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1429 b;Kepler-1429;Железная планета;3.51;1.29;9.02;1157;4.48;0.054;0.386;0.311;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1371 Ab;Kepler-1371 A;Железная планета;0.65;0.73;9.21;1126;3.45;0.044;0.160;0.312;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1200 b;Kepler-1200;Железная планета;1.82;1.06;8.44;1232;1.12;0.019;0.434;0.313;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1876 b;Kepler-1876;Железная планета;2.40;0.85;21.31;1188;6.99;0.076;0.000;0.313;Оригинал;Оригинал
Kepler-304 e;Kepler-304;Железная планета;2.66;1.20;8.49;1176;1.50;0.024;0.465;0.314;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-1238 b;TOI-1238;Железная планета;3.76;1.21;11.69;1172;0.76;0.014;0.000;0.314;Оригинал;Оригинал
